opcoID,description
Scholz & Friends Family,TBD
AKQA Group,TBD
Wunderman Thompson,TBD
Specialist Communications & PR,TBD
WPP,TBD
BCW Group,TBD
Hill+Knowlton Strategies,TBD
GroupM,TBD
Hogarth,TBD
Landor & Fitch,TBD
AKQA Group,TBD
Ogilvy,TBD
VMLY&R,TBD
WPP Ventures,TBD
